Value.id,Value.name
867,Adamant knife
868,Rune knife
869,Black knife
870,Bronze knife(p)
871,Iron knife(p)
872,Steel knife(p)
873,Mithril knife(p)
874,Black knife(p)
875,Adamant knife(p)
876,Rune knife(p)
877,Bronze bolts
878,Bronze bolts (p)
879,Opal bolts
880,Pearl bolts
881,Barbed bolts
882,Bronze arrow
883,Bronze arrow(p)
884,Iron arrow
885,Iron arrow(p)
886,Steel arrow
887,Steel arrow(p)
888,Mithril arrow
889,Mithril arrow(p)
890,Adamant arrow
891,Adamant arrow(p)
892,Rune arrow
893,Rune arrow(p)
942,Bronze fire arrow (lit)
946,Knife
948,Bear fur
950,Silk
952,Spade
954,Rope
956,Flier
958,Grey wolf fur
960,Plank
962,Christmas cracker
964,Skull
966,Tile
968,Rock
970,Papyrus
972,Papyrus
973,Charcoal
975,Machete
981,Disk of returning
983,Brass key
985,Tooth half of key
987,Loop half of key
989,Crystal key
991,Muddy key
993,Sinister key
1005,White apron
1007,Red cape
1009,Brass necklace
1011,Blue skirt
1013,Pink skirt
1015,Black skirt
1017,Wizard hat
1019,Black cape
1021,Blue cape
1023,Yellow cape
1025,Right eye patch
1027,Green cape
1029,Purple cape
1031,Orange cape
1033,Zamorak monk bottom
1035,Zamorak monk top
1037,Bunny ears
1038,Red partyhat
1040,Yellow partyhat
1042,Blue partyhat
1044,Green partyhat
1046,Purple partyhat
1048,White partyhat
1050,Santa hat
1052,Cape of legends
1053,Green halloween mask
1055,Blue halloween mask
1057,Red halloween mask
1059,Leather gloves
1061,Leather boots
1063,Leather vambraces
1065,Green d'hide vamb
1067,Iron platelegs
1069,Steel platelegs
1071,Mithril platelegs
1073,Adamant platelegs
1075,Bronze platelegs
1077,Black platelegs
1079,Rune platelegs
1081,Iron plateskirt
1083,Steel plateskirt
1085,Mithril plateskirt
1087,Bronze plateskirt
1089,Black plateskirt
1091,Adamant plateskirt
1093,Rune plateskirt
1095,Leather chaps
1097,Studded chaps
1099,Green d'hide chaps
1101,Iron chainbody
1103,Bronze chainbody
1105,Steel chainbody
1107,Black chainbody
1109,Mithril chainbody
1111,Adamant chainbody
1113,Rune chainbody
1115,Iron platebody
1117,Bronze platebody
1119,Steel platebody
1121,Mithril platebody
1123,Adamant platebody
1125,Black platebody
1127,Rune platebody
1129,Leather body
1131,Hardleather body
1133,Studded body
1135,Green d'hide body
1137,Iron med helm
1139,Bronze med helm
1141,Steel med helm
1143,Mithril med helm
1145,Adamant med helm
1147,Rune med helm
1149,Dragon med helm
1151,Black med helm
1153,Iron full helm
1155,Bronze full helm
1157,Steel full helm
1159,Mithril full helm
1161,Adamant full helm
1163,Rune full helm
1165,Black full helm
1167,Leather cowl
1169,Coif
1171,Wooden shield
1173,Bronze sq shield
1175,Iron sq shield
1177,Steel sq shield
1179,Black sq shield
1181,Mithril sq shield
1183,Adamant sq shield
1185,Rune sq shield
1187,Dragon sq shield
1189,Bronze kiteshield
1191,Iron kiteshield
1193,Steel kiteshield
1195,Black kiteshield
1197,Mithril kiteshield
1199,Adamant kiteshield
1201,Rune kiteshield
1203,Iron dagger
1205,Bronze dagger
1207,Steel dagger
1209,Mithril dagger
1211,Adamant dagger
1213,Rune dagger
1215,Dragon dagger
1217,Black dagger
1219,Iron dagger(p)
1221,Bronze dagger(p)
1223,Steel dagger(p)
1225,Mithril dagger(p)
1227,Adamant dagger(p)
1229,Rune dagger(p)
1231,Dragon dagger(p)
1233,Black dagger(p)
1237,Bronze spear
1239,Iron spear
1241,Steel spear
1243,Mithril spear
1245,Adamant spear
1247,Rune spear
1249,Dragon spear
1251,Bronze spear(p)
1253,Iron spear(p)
1255,Steel spear(p)
1257,Mithril spear(p)
1259,Adamant spear(p)
1261,Rune spear(p)
1263,Dragon spear(p)
1265,Bronze pickaxe
1267,Iron pickaxe
1269,Steel pickaxe
1271,Adamant pickaxe
1273,Mithril pickaxe
1275,Rune pickaxe
1277,Bronze sword
1279,Iron sword
1281,Steel sword
1283,Black sword
1285,Mithril sword
1287,Adamant sword
1289,Rune sword
1291,Bronze longsword
1293,Iron longsword
1295,Steel longsword
1297,Black longsword
1299,Mithril longsword
1301,Adamant longsword
1303,Rune longsword
1305,Dragon longsword
1307,Bronze 2h sword
1309,Iron 2h sword
1311,Steel 2h sword
1313,Black 2h sword
1315,Mithril 2h sword
1317,Adamant 2h sword
1319,Rune 2h sword
1321,Bronze scimitar
1323,Iron scimitar
1325,Steel scimitar
1327,Black scimitar
1329,Mithril scimitar
1331,Adamant scimitar
1333,Rune scimitar
1335,Iron warhammer
1337,Bronze warhammer
1339,Steel warhammer
1341,Black warhammer
1343,Mithril warhammer
1345,Adamant warhammer
1347,Rune warhammer
1349,Iron axe
1351,Bronze axe
1353,Steel axe
1355,Mithril axe
1357,Adamant axe
1359,Rune axe
1361,Black axe
1363,Iron battleaxe
1365,Steel battleaxe
1367,Black battleaxe
1369,Mithril battleaxe
1371,Adamant battleaxe
1373,Rune battleaxe
1375,Bronze battleaxe
1377,Dragon battleaxe
1379,Staff
1381,Staff of air
1383,Staff of water
1385,Staff of earth
1387,Staff of fire
1389,Magic staff
1391,Battlestaff
1393,Fire battlestaff
1395,Water battlestaff
1397,Air battlestaff
1399,Earth battlestaff
1401,Mystic fire staff
1403,Mystic water staff
1405,Mystic air staff
1407,Mystic earth staff
1409,Iban's staff
1410,Iban's staff
1419,Scythe
1420,Iron mace
1422,Bronze mace
1424,Steel mace
1426,Black mace
1428,Mithril mace
1430,Adamant mace
1432,Rune mace
1434,Dragon mace
1436,Rune essence
1438,Air talisman
1440,Earth talisman
1442,Fire talisman
1444,Water talisman
1446,Body talisman
1448,Mind talisman
1452,Chaos talisman
1454,Cosmic talisman
1456,Death talisman
1458,Law talisman
1462,Nature talisman
1464,Archery ticket
1467,Damp sticks
1468,Dry sticks
1470,Red bead
1472,Yellow bead
1474,Black bead
1476,White bead
1478,Amulet of accuracy
1480,Rock
1481,Orb of light
1485,Oily cloth
1486,Piece of railing
1488,Paladin's badge
1489,Paladin's badge
1490,Paladin's badge
1491,Witch's cat
1492,Doll of iban
1493,Old journal
1494,History of iban
1495,Klank's gauntlets
1496,Iban's dove
1497,Amulet of othanian
1498,Amulet of doomion
1499,Amulet of holthion
1500,Iban's shadow
1501,Dwarf brew
1502,Iban's ashes
1503,Warrant
1504,Hangover cure
1505,Ardougne teleport scroll
1506,Gas mask
1507,A small key
1508,A scruffy note
1509,Book
1510,Picture
1511,Logs
1513,Magic logs
1515,Yew logs
1517,Maple logs
1519,Willow logs
1521,Oak logs
1523,Lockpick
1525,Grimy snake weed
1526,Snake weed
1527,Grimy ardrigal
1528,Ardrigal
1529,Grimy sito foil
1530,Sito foil
1531,Grimy volencia moss
1532,Volencia moss
1533,Grimy rogue's purse
1534,Rogue's purse
1535,Map part
1536,Map part
1537,Map part
1538,Crandor map
1539,Steel nails
1540,Anti-dragon shield
1542,Maze key
1543,Key
1544,Key
1545,Key
1546,Key
1547,Key
1548,Key
1549,Stake
1550,Garlic
1552,Seasoned sardine
1555,Pet kitten
1556,Pet kitten
1557,Pet kitten
1558,Pet kitten
1559,Pet kitten
1560,Pet kitten
1561,Pet cat
1562,Pet cat
1563,Pet cat
1564,Pet cat
1565,Pet cat
1566,Pet cat
1567,Pet cat
1568,Pet cat
1569,Pet cat
1570,Pet cat
1571,Pet cat
1572,Pet cat
1573,Doogle leaves
1575,Cat training medal
1577,Pete's candlestick
1579,Thieves' armband
1580,Ice gloves
1581,Blamish snail slime
1582,Blamish oil
1583,Fire feather
1584,Id papers
1585,Oily fishing rod
1586,Miscellaneous key
1588,Grip's keyring
1590,Dusty key
1591,Jail key
1592,Ring mould
1594,Unholy mould
1595,Amulet mould
1597,Necklace mould
1599,Holy mould
1601,Diamond
1603,Ruby
1605,Emerald
1607,Sapphire
1609,Opal
1611,Jade
1613,Red topaz
1615,Dragonstone
1617,Uncut diamond
1619,Uncut ruby
1621,Uncut emerald
1623,Uncut sapphire
1625,Uncut opal
1627,Uncut jade
1629,Uncut red topaz
1631,Uncut dragonstone
1633,Crushed gem
1635,Gold ring
1637,Sapphire ring
1639,Emerald ring
1641,Ruby ring
1643,Diamond ring
1645,Dragonstone ring
1654,Gold necklace
1656,Sapphire necklace
1658,Emerald necklace
1660,Ruby necklace
1662,Diamond necklace
1664,Dragon necklace
1673,Gold amulet (u)
1675,Sapphire amulet (u)
1677,Emerald amulet (u)
1679,Ruby amulet (u)
1681,Diamond amulet (u)
1683,Dragonstone amulet (u)
1692,Gold amulet
1694,Sapphire amulet
1696,Emerald amulet
1698,Ruby amulet
1700,Diamond amulet
1702,Dragonstone amulet
1704,Amulet of glory
1706,Amulet of glory(1)
1708,Amulet of glory(2)
1710,Amulet of glory(3)
1712,Amulet of glory(4)
1714,Unstrung symbol
1716,Unblessed symbol
1718,Holy symbol
1720,Unstrung emblem
1722,Unpowered symbol
1724,Unholy symbol
1725,Amulet of strength
1727,Amulet of magic
1729,Amulet of defence
1731,Amulet of power
1733,Needle
1734,Thread
1735,Shears
1737,Wool
1739,Cowhide
1741,Leather
1743,Hard leather
1745,Green dragon leather
1747,Black dragonhide
1749,Red dragonhide
1751,Blue dragonhide
1753,Green dragonhide
1755,Chisel
1757,Brown apron
1759,Ball of wool
1761,Soft clay
1763,Red dye
1765,Yellow dye
1767,Blue dye
1769,Orange dye
1771,Green dye
1773,Purple dye
1775,Molten glass
1777,Bow string
1779,Flax
1781,Soda ash
1783,Bucket of sand
1785,Glassblowing pipe
1787,Unfired pot
1789,Unfired pie dish
1791,Unfired bowl
1793,Woad leaf
1794,Bronze wire
1796,Silver necklace
1798,Silver cup
1800,Silver bottle
1802,Silver book
1804,Silver needle
1806,Silver pot
1808,Criminal's thread
1809,Criminal's thread
1810,Criminal's thread
1811,Flypaper
1812,Pungent pot
1813,Criminal's dagger
1815,Killer's print
1816,Anna's print
1817,Bob's print
1818,Carol's print
1819,David's print
1820,Elizabeth's print
1821,Frank's print
1822,Unknown print
1823,Waterskin(4)
1825,Waterskin(3)
1827,Waterskin(2)
1829,Waterskin(1)
1831,Waterskin(0)
1833,Desert shirt
1835,Desert robe
1837,Desert boots
1839,Metal key
1840,Cell door key
1841,Barrel
1842,Ana in a barrel
1843,Wrought iron key
1844,Slave shirt
1845,Slave robe
1846,Slave boots
1847,Scrumpled paper
1848,Shantay disclaimer
1849,Prototype dart
1850,Technical plans
1851,Tenti pineapple
1852,Bedabin key
1853,Prototype dart tip
1854,Shantay pass
1855,Rock
1856,Guide book
1857,Totem
1858,Address label
1859,Raw ugthanki meat
1861,Ugthanki meat
1863,Pitta dough
1865,Pitta bread
1869,Chopped tomato
1871,Chopped onion
1873,Chopped ugthanki
1875,Onion & tomato
1877,Ugthanki & onion
1879,Ugthanki & tomato
1881,Kebab mix
1883,Ugthanki kebab
1887,Cake tin
1889,Uncooked cake
1891,Cake
1893,2/3 cake
1895,Slice of cake
1897,Chocolate cake
1899,2/3 chocolate cake
1901,Chocolate slice
1903,Burnt cake
1905,Asgarnian ale
1907,Wizard's mind bomb
1909,Greenman's ale
1911,Dragon bitter
1913,Dwarven stout
1915,Grog
1917,Beer
1919,Beer glass
1921,Bowl of water
1923,Bowl
1925,Bucket
1927,Bucket of milk
1929,Bucket of water
1931,Pot
1933,Pot of flour
1935,Jug
1937,Jug of water
1939,Swamp tar
1940,Raw swamp paste
1941,Swamp paste
1942,Potato
1944,Egg
1947,Grain
1949,Chef's hat
1951,Redberries
1953,Pastry dough
1955,Cooking apple
1957,Onion
1959,Pumpkin
1961,Easter egg
1963,Banana
1965,Cabbage
1969,Spinach roll
1971,Kebab
1973,Chocolate bar
1975,Chocolate dust
1977,Chocolatey milk
1980,Empty cup
1982,Tomato
1984,Rotten apple
1985,Cheese
1987,Grapes
1989,Half full wine jug
1991,Jug of bad wine
1993,Jug of wine
1995,Unfermented wine
1997,Incomplete stew
2001,Uncooked stew
2003,Stew
2005,Burnt stew
2007,Spice
2009,Uncooked curry
2011,Curry
2013,Burnt curry
2015,Vodka
2017,Whisky
2019,Gin
2021,Brandy
2023,Cocktail guide
2025,Cocktail shaker
2026,Cocktail glass
2028,Premade blurb' sp.
2030,Premade choc s'dy
2032,Premade dr' dragon
2034,Premade fr' blast
2036,Premade p' punch
2038,Premade sgg
2040,Premade wiz blz'd
2042,Unfinished cocktail
2044,Unfinished cocktail
2046,Unfinished cocktail
2048,Pineapple punch
2050,Unfinished cocktail
2052,Unfinished cocktail
2054,Wizard blizzard
2056,Unfinished cocktail
2058,Unfinished cocktail
2060,Unfinished cocktail
2062,Unfinished cocktail
2064,Blurberry special
2066,Unfinished cocktail
2068,Unfinished cocktail
2070,Unfinished cocktail
2072,Unfinished cocktail
2074,Choc saturday
2076,Unfinished cocktail
2078,Unfinished cocktail
2080,Short green guy
2082,Unfinished cocktail
2084,Fruit blast
2086,Unfinished cocktail
2088,Unfinished cocktail
2090,Unfinished cocktail
2092,Drunk dragon
2094,Odd cocktail
2096,Odd cocktail
2098,Odd cocktail
2100,Odd cocktail
2102,Lemon
2104,Lemon chunks
2106,Lemon slices
2108,Orange
2110,Orange chunks
2112,Orange slices
2114,Pineapple
2116,Pineapple chunks
2118,Pineapple ring
2120,Lime
2122,Lime chunks
2124,Lime slices
2126,Dwellberries
2128,Equa leaves
2130,Pot of cream
2132,Raw beef
2134,Raw rat meat
2136,Raw bear meat
2138,Raw chicken
2140,Cooked chicken
2142,Cooked meat
2144,Burnt chicken
2146,Burnt meat
2148,Raw lava eel
2149,Lava eel
2150,Swamp toad
2152,Toad's legs
2154,Equa toad's legs
2156,Spicy toad's legs
2158,Seasoned legs
2160,Spicy worm
2162,King worm
2164,Batta tin
2165,Crunchy tray
2166,Gnomebowl mould
2167,Gianne's cook book
2169,Gnome spice
2171,Gianne dough
2173,Odd gnomebowl
2175,Burnt gnomebowl
2177,Half baked bowl
2178,Raw gnomebowl
2179,Unfinished bowl
2181,Unfinished bowl
2183,Unfinished bowl
2185,Chocolate bomb
2189,Unfinished bowl
2191,Worm hole
2193,Unfinished bowl
2195,Veg ball
2197,Odd crunchies
2199,Burnt crunchies
2201,Half baked crunchy
2202,Raw crunchies
2205,Worm crunchies
2207,Unfinished crunchy
2209,Chocchip crunchies
2211,Unfinished crunchy
2213,Spicy crunchies
2215,Unfinished crunchy
2217,Toad crunchies
2219,Premade w'm batta
2221,Premade t'd batta
2223,Premade c+t batta
2225,Premade fr't batta
2227,Premade veg batta
2229,Premade choc bomb
2231,Premade ttl
2233,Premade worm hole
2235,Premade veg ball
2237,Premade w'm crun'
2239,Premade ch' crunch
2241,Premade s'y crunch
2243,Premade t'd crunch
2245,Odd batta
2247,Burnt batta
2249,Half baked batta
2250,Raw batta
2251,Unfinished batta
2253,Worm batta
2255,Toad batta
2257,Unfinished batta
2259,Cheese+tom batta
2261,Unfinished batta
2263,Unfinished batta
2265,Unfinished batta
2267,Unfinished batta
2269,Unfinished batta
2271,Unfinished batta
2273,Unfinished batta
2275,Unfinished batta
2277,Fruit batta
2279,Unfinished batta
2281,Vegetable batta
2283,Pizza base
2285,Incomplete pizza
2287,Uncooked pizza
2289,Plain pizza
2291,1/2 plain pizza
2293,Meat pizza
2295,1/2 meat pizza
2297,Anchovy pizza
2299,1/2 anchovy pizza
2301,Pineapple pizza
2303,1/2 pineapple pizza
2305,Burnt pizza
2307,Bread dough
2309,Bread
2311,Burnt bread
2313,Pie dish
2315,Pie shell
2317,Uncooked apple pie
2319,Uncooked meat pie
2321,Uncooked berry pie
2323,Apple pie
2325,Redberry pie
2327,Meat pie
2329,Burnt pie
2331,Half a meat pie
2333,Half a redberry pie
2335,Half an apple pie
2337,Raw oomlie
2339,Palm leaf
2341,Wrapped oomlie
2343,Cooked oomlie wrap
2347,Hammer
2349,Bronze bar
2351,Iron bar
2353,Steel bar
2355,Silver bar
2357,Gold bar
2359,Mithril bar
2361,Adamantite bar
2363,Runite bar
2365,'perfect' gold bar
2366,Shield left half
2368,Shield right half
2370,Steel studs
2372,Ogre relic
2373,Relic part 1
2374,Relic part 2
2375,Relic part 3
2376,Skavid map
2377,Ogre tooth
2378,Toban's key
2379,Rock cake
2380,Crystal
2381,Crystal
2382,Crystal
2383,Crystal
2384,Fingernails
2385,Old robe
2386,Unusual armour
2387,Damaged dagger
2388,Tattered eye patch
2391,Ground bat bones
2393,Toban's gold
2394,Potion
2395,Magic ogre potion
2396,Spell scroll
2397,Shaman robe
2398,Cave nightshade
2399,Silverlight key
2400,Silverlight key
2401,Silverlight key
2402,Silverlight
2403,Hazeel scroll
2404,Chest key
2405,Carnillean armour
2406,Hazeel's mark
2407,Ball
2408,Diary
2409,Door key
2410,Magnet
2411,Key
2412,Saradomin cape
2413,Guthix cape
2414,Zamorak cape
2415,Saradomin staff
2416,Guthix staff
2417,Zamorak staff
2418,Bronze key
2419,Wig
2421,Wig
2423,Key print
2424,Paste
2425,Vorkath's head
2426,Burnt oomlie
2428,Attack potion(4)
2430,Restore potion(4)
2432,Defence potion(4)
2434,Prayer potion(4)
2436,Super attack(4)
2438,Fishing potion(4)
2440,Super strength(4)
2442,Super defence(4)
2444,Ranging potion(4)
2446,Antipoison(4)
2448,Superantipoison(4)
2450,Zamorak brew(4)
2452,Antifire potion(4)
2454,Antifire potion(3)
2456,Antifire potion(2)
2458,Antifire potion(1)
2460,Assorted flowers
2462,Red flowers
2464,Blue flowers
2466,Yellow flowers
2468,Purple flowers
2470,Orange flowers
2472,Mixed flowers
2474,White flowers
2476,Black flowers
2481,Lantadyme
2483,Lantadyme potion (unf)
2485,Grimy lantadyme
2487,Blue d'hide vamb
2489,Red d'hide vamb
